recall_id,source_agency,external_id,source_id,title,description,recalling_firm_canonical,recalling_firm_display,recall_date,severity,remedy,units_affected,distribution_pattern,hazard_keys,raw_hazard_texts,source_url,source_endpoint_url,retrieved_at
10174,CPSC,26605,320,Conair Recalls Cuisinart Propel+ Four Burner 3-In-1 Gas Grills Due to Risk of Serious Injury from Laceration Hazard,"This recall includes the stainless-steel Cuisinart Propel+ Four Burner 3-in-1 Gas Grill, featuring a griddle, a stove top burner and a pizza oven with tempered glass located on top of the lid of the grill. The model number CGG-6331 can be found on the label on the inside of the right-hand metal door, along with the serial number.",conair llc of stamford connecticut dba cuisinart,"Conair LLC, of Stamford, Connecticut, dba Cuisinart",2026-07-09,,"Consumers should stop using the recalled Cuisinart Propel+ Four Burner 3-in-1 Gas Grill immediately and visit Conair's website to check if their grill is included in the recall. If affected, follow the instructions to safely remove the tempered glass window on the pizza oven and upload two photographs to the firm's website; one of the removed glass, and one of the grill's serial number. Upon verification, consumers will receive a $500 refund by check or be reimbursed for the original purchase amount with proof of receipt. After receiving their refund, consumers should write the word ""Recall"" with a black sharpie marker on the tempered glass and dispose of it.; Refund",12660,,laceration,"The tempered glass window in the pizza oven can shatter during use, posing a risk of serious injury from laceration hazard.",https://www.cpsc.gov/Recalls/2026/Conair-Recalls-Cuisinart-Propel-Four-Burner-3-In-1-Gas-Grills-Due-to-Risk-of-Serious-Injury-from-Laceration-Hazard,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10172,CPSC,26606,320,Best Buy Recalls Insignia® Gas Ranges Due to Risk of Serious Injury from a Fire Hazard,"This recall involves Insignia gas ranges with model numbers NS-RGFGSS1 and NS-RGFCGS2. The recalled ranges are stainless steel with five front-knobs on the oven with the ""Insignia"" label on the bottom of the oven door. A label with the model number can be found on the inside of the range's bottom drawer.",best buy purchasing llc of richfield minnesota,"Best Buy Purchasing LLC, of Richfield, Minnesota",2026-07-09,,"Consumers should stop using the recalled oven immediately and visit Best Buy's recall website at https://www.recallrtr.com/range to participate in the recall. The firm is offering all consumers a free set of compatible knob covers with instructions for their gas range. The firm will send the knob covers to the consumers after they confirm that their gas range is involved in the recall. Consumers are cautioned to keep children and pets away from the knobs, to check the range knobs to ensure they are off before leaving home or going to bed, and not to leave objects on the range when the range is not in use.; Repair",3820,,fire_burn,"The recalled ranges' front-mounted knobs can be activated accidentally by humans or pets, posing a risk of serious injury from a fire hazard.",https://www.cpsc.gov/Recalls/2026/Best-Buy-Recalls-Insignia-Gas-Ranges-Due-to-Risk-of-Serious-Injury-from-a-Fire-Hazard,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10173,CPSC,26607,320,Biometric Gun Safes Recalled Due to Serious Injury Hazard and Risk of Death; Sold Exclusively on Amazon.com by BBRKIN,"This recall involves BBRKIN and MouTec Biometric Gun Safes with model number QHXP029B. The gray steel safes are used to store firearms and valuables. The safes measure about 14 inches by 12 inches by 57 inches, have one shelf and can store approximately five firearms. The recalled safes have the following serial number range: SQC200034980 - SQC202319171. The serial number is on a label on the lower right corner of the front of the safes. The brand name ""MouTec"" or ""BBRKIN"" is on the upper right corner of the front of the safes.",jomani international inc of monterey park california,"Jomani International Inc., of Monterey Park, California",2026-07-09,,"Consumers should immediately stop using the biometric feature of the recalled safe, remove the batteries from the safe, and only use the key when storing firearms. Contact BBRKIN to receive a free repair kit.; Repair",9100,,other,"The biometric lock on the gun safes can be opened by unauthorized users, posing a serious injury hazard and risk of death.",https://www.cpsc.gov/Recalls/2026/Biometric-Gun-Safes-Recalled-Due-to-Serious-Injury-Hazard-and-Risk-of-Death-Sold-Exclusively-on-Amazon-com-by-BBRKIN,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10177,CPSC,26608,320,Moodooy Bed Rails Recalled Due to Risk of Serious Injury or Death from Entrapment and Asphyxiation; Violate Mandatory Standard for Adult Portable Bed Rails; Sold on Amazon by Yuezhang,"This recall involves the Moodooy-branded adult portable bed rail. The bed rail has a white frame with black trim and a black storage pocket. The brand name ""Moodooy"" and model ""F311"" are printed on the storage pocket. The bed rail is about 12 inches wide by about 21 inches tall to about 23 inches tall (when extended).",shenzhenshiyuezhangwangluokejiyouxiangongsi shenzhen yuezhang network technology co ltd doing business as yuezhang of china,"shenzhenshiyuezhangwangluokejiyouxiangongsi (Shenzhen Yuezhang Network Technology Co., Ltd.), doing business as YUEZHANG, of China",2026-07-09,,"Consumers should stop using the recalled adult portable bed rails immediately and contact YUEZHANG for a full refund. Consumers will be asked to cut the black safety strap in half, write ""RECALLED"" on the upper and lower bed rails with a permanent marker, take a photo of the marked bed rail with the buyer's name on a piece of paper, and email the photo to Moodooy-recall@outlook.com.; Refund",228,,choking,"The recalled bed rails violate the mandatory standard for?adult portable bed rails?because users can become entrapped within the bed rail or between the bed rail and the side of the mattress, posing a serious entrapment hazard and risk of death by asphyxiation.?In addition, the bed rails do not bear the required hazard warning labels.",https://www.cpsc.gov/Recalls/2026/Moodooy-Bed-Rails-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Entrapment-and-Asphyxiation-Violate-Mandatory-Standard-for-Adult-Portable-Bed-Rails-Sold-on-Amazon-by-Yuezhang,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10178,CPSC,26609,320,WonderStone Infant Walkers Recalled Due to Risk of Serious Injury or Death from Fall Hazard; Violate Mandatory Standard for Infant Walkers; Sold on Walmart.com by Wonder Stone Toys,"This recall involves WonderStone-branded Infant Walkers sold in green and pink. The walkers have a gray fabric seat, a white tray with a detachable music box, six wheels, a foot pad and a white hand lever. ""Model No: 616"" or ""Model No: 616-1"" is printed on a white label located under the tray.",zhangzhoushi jingqu trading co ltd dba wonder stone toys of china,"Zhangzhoushi Jingqu Trading Co., Ltd., dba Wonder Stone Toys, of China",2026-07-09,,"Consumers should stop using the recalled infant walkers immediately and contact Wonder Stone Toys for a full refund. Consumers will be asked to disassemble the walker, remove and cut the fabric seat, write ""Recalled"" on the top of the tray in permanent marker and send a photo of the disassembled infant walker showing the cut seat and marked tray to wonderstonerecall@outlook.com.; Refund",70,,fall_injury,"The recalled infant walkers violate the mandatory standard for infant walkers because they can fit through a standard doorway and fail to stop at the edge of a step, posing a risk of serious injury or death due to a fall hazard.",https://www.cpsc.gov/Recalls/2026/WonderStone-Infant-Walkers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-Hazard-Violate-Mandatory-Standard-for-Infant-Walkers-Sold-on-Walmart-com-by-Wonder-Stone-Toys,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10175,CPSC,26610,320,Flaunt Recalls Magsafe Battery Chargers Due to Risk of Serious Injury or Death from Fire and Burn Hazards,"This recall involves the Flaunt MagSafe Battery Charger power banks with model number E33A. ""FLAUNT"" is engraved on the front right side of the power bank and there is a small circular button in the bottom center of the front side of the power bank. The back label of the unit is marked ""FLAUNT"" and ""Model: E33A"". The power banks were sold in melon, black, lavender and white. The chargers measure 3 by 2 by 0.25 inches and weigh around 3.2 ounces.",idecoz inc dba flaunt of brooklyn new york and case mate of atlanta georgia,"iDecoz Inc. dba Flaunt, of Brooklyn, New York and Case-Mate, of Atlanta, Georgia",2026-07-09,,"Consumers should stop using the recalled power banks immediately and contact Flaunt for a full refund of the $65 purchase price in the form of a check or as an $80 store credit at flauntcases.com. Consumers will be asked to register at www.flauntcases.com/pages/recall and submit two photographs. One photo should show the front of the power bank with the word ""Recalled"", the consumers initials, and the registration date written on it in permanent marker. The second photo should show the model number E33A located on the back of the power bank. Consumers will receive an email with instructions on disposing the charger in accordance with local and state regulations. Note: Do not throw this recalled power bank with lithium-ion battery in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.; Refund",1400,,fire_burn,"The lithium-ion battery in the recalled power banks (chargers) can overheat and ignite, posing a risk of serious injury or death from fire and burn hazards.",https://www.cpsc.gov/Recalls/2026/Flaunt-Recalls-Magsafe-Battery-Chargers-Due-to-Risk-of-Serious-Injury-or-Death-from-Fire-and-Burn-Hazards,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
10176,CPSC,26611,320,Greenworks Tools Recalls 24V and 48V Kobalt Yard Power Tools with USB-C Batteries Due to Risk of Serious Injury from Fire Hazard,"This recall involves Kobalt yard power tools, including trimmers, blowers, mowers, chainsaws and pruning saws that use 24V Kobalt-branded batteries with a USB-C charging port. The batteries with a USB-C charging port come in 3.0Ah, 4.0Ah, 5.0Ah, 6.0Ah, and 8.0Ah. The 6.0Ah and 3.0Ah batteries were also sold separately from the tool. Only products with the USB-C batteries are included in the recall. Product Description Model Number Kobalt 24V 12"" String Trimmer and 270CFM/100 MPH Blower Combo Kit with (1) 3.0Ah Battery Kit: KOC 1024-06 Blower: KHB 2524-06 Trimmer: KST 1224-06 Battery: KB 424-06 Kobalt 48V (2x24V) 17"" Deck Push Mower Kit with (2) 4.0Ah Batteries Tool: KM 4224A-06 Battery: KB 424-06 Kobalt 48V (2x24V) 21"" Deck Push Mower Kit with (2) 5.0Ah Batteries Tool: KM 5224A-06 Battery: KB 524-06 Kobalt 48V (2x24V) 21"" Deck Self-Propelled Mower Kit with (2) 6.0Ah Batteries Tool: KMS 6224A-06 Battery: KB 624-06 Kobalt 48V (2x24V) 21"" Deck Dual Blade Self-Propelled Mower Kit with (2) 8.0Ah Batteries Tool: KMSD 8224A-06 Battery: KXB 824-06 Kobalt 48V (2x24V) Kobalt 14"" Chainsaw Kit with (2) 4.0Ah Batteries Tool: KCS 4224-06 Battery: KB 424-06 Kobalt 24V 6"" Pruning Saw Kit with (1) 3.0Ah Battery Tool: KMCS 2024-06 Battery: KB 324-06 Kobalt 24V 270 CFM/100 MPH Blower Kit with (1) 3.0Ah Battery Tool: KHB 324-06 Battery: KB 324-06 Kobalt 48V (2x24V) 600 CFM/150 MPH Blower Kit with (2) 4.0Ah Batteries Tool: KHB 4248-06 Battery: KB 424-06 Kobalt 48V (2x24V) Bristle Brush Kit with (2) 3.0Ah Batteries Tool: KABK 3265-06 Battery: KB 324-06 Kobalt 24V 12"" 2-in-1 String Trimmer Kit with (1) 3.0Ah Battery Tool: KST 2024-06 Battery: KB 324-06 Kobalt 48V (2x24V) 15"" Attachment Capable String Trimmer Kit with (2) 3.0Ah Batteries Tool: KMS 3248-06 Battery: KB 324-06 Kobalt 24V Power Cleaner Kit with (1) 3.0Ah Battery Tool: KPC 3024-06 Battery: KB 324-06 Kobalt 24V 6.0Ah Battery 2-Pack Kit: KB 624D-06 Battery: KB 624-06 Kobalt 24V 3.0Ah Battery 2-Pack Kit: KB 324D-06 Battery: KB 324-06 Kobalt 24V 3.0Ah Battery KB 324-06 Kobalt 48V (2x24) 15"" Trimmer and 600 CFM Blower Combo Kit with (2) 4.0Ah Batteries Kit: KOC 4248-06 Blower: KHB 6048-06 Trimmer: KMS 1524-06 Battery: KB 424-06 Kobalt 48V (2x24V) 14"" Chainsaw (Tool Only) KCS 1448-06 Kobalt 48V (2x24V) 600 CFM/150 MPH Blower (Tool Only) KHB 6048-06 Kobalt 48V (2x24V) 15"" Attachment Capable String Trimmer (Tool Only) KMS 1524-06 Kobalt 48V (2x24V) 15"" Attachment Capable String Trimmer (Tool Only) KMS 1524-06 s.",greenworks north america llc dba greenworks tools of mooresville north carolina,"Greenworks North America, LLC, dba Greenworks Tools, of Mooresville, North Carolina",2026-07-09,,"Consumers should stop charging the batteries with the USB-C port while the batteries are inserted in the yard power tools immediately and contact Greenworks Tools to receive a free replacement battery. Consumers will be asked to complete the registration form at https://www.greenworkstools.com/pages/kobalt-product-recall to receive replacement batteries without the USB-C port, a charger adapter, a warning label to affix on the yard power tool, an updated product manual and a pre-paid shipping label along with instructions for returning the recalled batteries.; Replace",554780,,fire_burn,"Charging the lithium-ion batteries through the USB-C port, while the batteries are inserted in the yard power tools can cause the batteries to short-circuit, posing a risk of serious injury from fire hazard.",https://www.cpsc.gov/Recalls/2026/Greenworks-Tools-Recalls-24V-and-48V-Kobalt-Yard-Power-Tools-with-USB-C-Batteries-Due-to-Risk-of-Serious-Injury-from-Fire-Hazard,https://www.saferproducts.gov/RestWebServices/Recall?format=json&RecallDateStart=2026-07-01&RecallDateEnd=2026-07-13,2026-07-13 16:36:33
25274,NHTSA,26E043000,321,Harbor Freight Tools EXTERIOR LIGHTING:TAIL LIGHTS:BULBS Recall 26E043000,"Harbor Freight Tools (HFT) is recalling certain Kenway 12V LED Towing Light Kits with part number 64282, manufactured November 13, 2019 to December 22, 2019, and 12V Submersible Lights with part number 64274, manufactured July 1, 2019 to July 8, 2019. The lights may not illuminate properly. As such, these lights fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Assoc. Equipment."" Improper illumination from the towing lights can reduce trailer visibility to other drivers, increasing the risk of a crash. ",harbor freight tools,Harbor Freight Tools,2026-07-07,,"HFT will replace the light kits, free of charge. Owners that purchased these lights prior to November 2020 are advised to check the last 6-digits on the serial codes: Model 64282 - 462019 or 522019 and Model 64274 - 272019. Owner notification letters are expected to be mailed August 30, 2026. Owners may contact HFT customer service at 1-800-444-3353.",3832,United States,crash_injury,"EXTERIOR LIGHTING:TAIL LIGHTS:BULBS Harbor Freight Tools (HFT) is recalling certain Kenway 12V LED Towing Light Kits with part number 64282, manufactured November 13, 2019 to December 22, 2019, and 12V Submersible Lights with part number 64274, manufactured July 1, 2019 to July 8, 2019. The lights may not illuminate properly. As such, these lights fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) number 108, ""Lamps, Reflective Devices, and Assoc. Equipment."" Improper illumination from the towing lights can reduce trailer visibility to other drivers, increasing the risk of a crash.  HFT will replace the light kits, free of charge. Owners that purchased these lights prior to November 2020 are advised to check the last 6-digits on the serial codes: Model 64282 - 462019 or 522019 and Model 64274 - 272019. Owner notification letters are expected to be mailed August 30, 2026. Owners may contact HFT customer service at 1-800-444-3353.",https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26E043000,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,2026-07-13 16:36:37
24935,NHTSA,26V434000,321,"Braun Corporation FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS Recall 26V434000","Braun Corporation (Braun) is recalling certain 2026 Chevrolet Traverse vehicles. The fuel fill line may be missing a braze connection, allowing fuel to leak. A fuel leak increases the risk of fire.",braun,BRAUN CORPORATION,2026-07-07,,"Dealers will replace the fuel fill assembly, free of charge. Owner notification letters are expected to be mailed beginning August 3, 2026.  Owners may contact Braun's customer service at 1-800-488-0359.",4,United States,fire_burn,"FUEL SYSTEM, GASOLINE:DELIVERY:HOSES, LINES/PIPING, AND FITTINGS Braun Corporation (Braun) is recalling certain 2026 Chevrolet Traverse vehicles. The fuel fill line may be missing a braze connection, allowing fuel to leak. A fuel leak increases the risk of fire. Dealers will replace the fuel fill assembly, free of charge. Owner notification letters are expected to be mailed beginning August 3, 2026.  Owners may contact Braun's customer service at 1-800-488-0359.",https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26V434000,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,2026-07-13 16:36:37
25145,NHTSA,26E042000,321,Prime-Time Specialty Vehicles EQUIPMENT ADAPTIVE/MOBILITY:WHEELCHAIR RESTRAINTS/SECUREMENT:CRITICAL FASTENERS Recall 26E042000,"Prime-Time Specialty Vehicles (Prime-Time) is recalling certain 2025-2026 Ford Med Transit vans equipped with Q'Straint Max wheelchair retractors. The retractors may not lock, preventing the wheelchair from being properly secured. An unsecured wheelchair can move during transit, increasing the risk of injury.",american seating,AMERICAN SEATING COMPANY,2026-07-06,,"Prime-Time will work with dealers and Q'Straint to replace the retractors, free of charge. The notification schedule has not yet been determined. Owners may contact Q'straint customer service at  1-800-987-9987 or Prime-Time customer service at 1-574-293-9191.",12,United States,crash_injury,"EQUIPMENT ADAPTIVE/MOBILITY:WHEELCHAIR RESTRAINTS/SECUREMENT:CRITICAL FASTENERS Prime-Time Specialty Vehicles (Prime-Time) is recalling certain 2025-2026 Ford Med Transit vans equipped with Q'Straint Max wheelchair retractors. The retractors may not lock, preventing the wheelchair from being properly secured. An unsecured wheelchair can move during transit, increasing the risk of injury. Prime-Time will work with dealers and Q'Straint to replace the retractors, free of charge. The notification schedule has not yet been determined. Owners may contact Q'straint customer service at  1-800-987-9987 or Prime-Time customer service at 1-574-293-9191.",https://api.nhtsa.gov/recalls/campaignNumber?campaignNumber=26E042000,https://static.nhtsa.gov/odi/ffdd/rcl/FLAT_RCL_POST_2010.zip,2026-07-13 16:36:37
